A_new,T1,T2,T3,T4,T5,X1,X2,X3,X4,X5,X6,Y1,Y2,Y3,Y4,Y5,Y6,B,C,D
493648783ec053462d17a678553caa6608994075719e0c8df7cb71b5c8804537,303,587,1235,1601,1804,0.4392,0.433866667,0.84,0.1592,0.123466667,0.115466667,0.860084034,0.630252101,0.705882353,0.668067227,0.355882353,0.084033613,1,2,1
493648783ec053462d17a678553caa6608994075719e0c8df7cb71b5c8804537,393,667,917,1498,1751,0.482666667,0.096,0.486133333,0.181333333,0.788533333,0.8168,0.841596639,0.273109244,0.358403361,0.596638655,0.41302521,0.647058824,1,2,1
493648783ec053462d17a678553caa6608994075719e0c8df7cb71b5c8804537,884,1576,1875,2268,2712,0.761866667,0.1592,0.8072,0.8392,0.128,0.5048,0.159663866,0.591176471,0.410504202,0.648319328,0.103781513,0.889495798,1,2,1
493648783ec053462d17a678553caa6608994075719e0c8df7cb71b5c8804537,1346,3236,3509,3811,4166,0.1352,0.4808,0.781333333,0.5112,0.818666667,0.0952,0.347478992,0.881092437,0.137394958,0.145798319,0.564285714,0.001260504,1,2,1
493648783ec053462d17a678553caa6608994075719e0c8df7cb71b5c8804537,692,1652,2018,2351,2718,0.48,0.168,0.1032,0.484533333,0.813333333,0.181333333,0.91302521,0.592436975,0.06302521,0.40210084,0.56302521,0.375210084,1,2,1
493648783ec053462d17a678553caa6608994075719e0c8df7cb71b5c8804537,1334,1984,2155,2450,2742,0.508533333,0.123466667,0.482666667,0.516533333,0.88,0.109333333,0.107983193,0.200420168,0.570168067,0.320588235,0.35,0.345798319,1,2,1
493648783ec053462d17a678553caa6608994075719e0c8df7cb71b5c8804537,455,956,1356,1554,1820,0.816,0.192,0.532533333,0.854133333,0.112,0.164533333,0.348739496,0.662605042,0.844537815,0.134453782,0.159663866,0.382352941,1,2,1
493648783ec053462d17a678553caa6608994075719e0c8df7cb71b5c8804537,501,1683,2017,2321,2635,0.513866667,0.1592,0.137866667,0.517333333,0.493333333,0.885333333,0.855882353,0.638655462,0.135714286,0.128991597,0.644117647,0.116386555,1,2,1
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,365,607,808,1077,1232,0.827466667,0.2008,0.517333333,0.226666667,0.798133333,0.7992,0.693277311,0.421428571,0.124789916,0.549159664,0.592436975,0.618907563,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,316,584,818,1043,1209,0.829333333,0.5272,0.512,0.809866667,0.803466667,0.798133333,0.669327731,0.847478992,0.40210084,0.145798319,0.641596639,0.693277311,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,299,540,732,940,1108,0.5288,0.491466667,0.2,0.529866667,0.574133333,0.569866667,0.117647059,0.89789916,0.647058824,0.58697479,0.074369748,0.130252101,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,330,775,977,1187,1335,0.8168,0.518133333,0.8328,0.836533333,0.761866667,0.752,0.68487395,0.676470588,0.113445378,0.320588235,0.698739496,0.696218487,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,278,975,1257,1534,1683,0.522666667,0.762666667,0.524533333,0.2008,0.557333333,0.5432,0.595378151,0.43697479,0.872689076,0.033613445,0.627310924,0.639915966,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,413,1028,1328,1601,1767,0.208,0.835466667,0.538666667,0.796533333,0.196533333,0.194666667,0.437984496,0.386434109,0.112403101,0.570930233,0.386434109,0.384883721,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,409,1152,1434,1738,1886,0.848,0.510133333,0.5368,0.838133333,0.818666667,0.826666667,0.10210084,0.652521008,0.116386555,0.635714286,0.044957983,0.06302521,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,266,439,699,976,1144,0.842666667,0.554666667,0.822133333,0.212533333,0.809866667,0.816,0.344537815,0.644117647,0.599579832,0.368487395,0.358403361,0.31092437,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,381,660,1050,1282,1443,0.533333333,0.7992,0.221333333,0.8,0.502133333,0.510133333,0.131512605,0.151260504,0.623109244,0.390756303,0.202941176,0.197478992,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,567,1450,1593,1799,1949,0.843466667,0.190133333,0.1928,0.829333333,0.828533333,0.826666667,0.414705882,0.162605042,0.355882353,0.621848739,0.345798319,0.376890756,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,858,1192,1432,1657,1832,0.849866667,0.1928,0.827466667,0.5048,0.852533333,0.853333333,0.092436975,0.076890756,0.348739496,0.900420168,0.099579832,0.118907563,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,320,812,1044,1244,1392,0.185866667,0.838133333,0.8248,0.531466667,0.195466667,0.2,0.663865546,0.074369748,0.375210084,0.210084034,0.675210084,0.66512605,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,302,786,1007,1207,1349,0.530666667,0.482666667,0.822133333,0.5032,0.540533333,0.544,0.827731092,0.088235294,0.607983193,0.368487395,0.85,0.844537815,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,281,464,831,2325,2457,0.204533333,0.4808,0.578666667,0.194666667,0.216,0.219466667,0.568487395,0.589495798,0.33487395,0.088235294,0.634453782,0.642857143,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,486,816,1049,1273,1433,0.518133333,0.206133333,0.505866667,0.8008,0.5288,0.537866667,0.603781513,0.599579832,0.399159664,0.348739496,0.596638655,0.627310924,1,2,0
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,659,941,1217,1468,1607,0.513866667,0.2248,0.803466667,0.206133333,0.525333333,0.553866667,0.411764706,0.330672269,0.100840336,0.105042017,0.378151261,0.414705882,1,2,0
